Date,Max Temp,Min Temp,Mean Temp
20/04/1960,18.73876823,4.53985439,11.63931131
21/04/1960,16.85111037,6.22798733,11.53954885
22/04/1960,16.25263981,4.0452065,10.14892316
23/04/1960,12.54565329,5.55525924,9.050456265
24/04/1960,16.3951293,3.63711284,10.01612107
25/04/1960,11.30541466,6.23817469,8.771794675
26/04/1960,13.07725941,6.5886937,9.832976555
27/04/1960,13.52555017,0.25097755,6.88826386
28/04/1960,11.91375614,1.83851797,6.876137055
29/04/1960,11.54806296,3.13001256,7.33903776
30/04/1960,14.99994381,1.21530883,8.10762632
01/05/1960,10.15643382,5.46746101,7.811947415
02/05/1960,12.63673073,4.63339244,8.635061585
03/05/1960,17.18869973,4.7339466,10.96132317
04/05/1960,17.3514229,4.69546,11.02344145
05/05/1960,21.17963694,9.83120016,15.50541855
06/05/1960,22.36084581,6.94186751,14.65135666
07/05/1960,23.25830148,8.59841125,15.92835637
08/05/1960,23.54446621,8.509775,16.02712061
09/05/1960,22.28343488,12.6208551,17.45214499
10/05/1960,21.71451066,8.98472376,15.34961721
11/05/1960,17.44215326,11.4593432,14.45074823
12/05/1960,18.00652759,12.177881,15.0922043
13/05/1960,18.24869167,11.4036209,14.82615629
14/05/1960,21.72181734,10.6204971,16.17115722
15/05/1960,19.00772364,12.2271889,15.61745627
16/05/1960,19.83031189,11.0656677,15.4479898
17/05/1960,18.19668148,9.70640846,13.95154497
18/05/1960,13.19367622,7.71564923,10.45466273
19/05/1960,12.43240347,9.40850014,10.92045181
20/05/1960,11.6134196,8.38649554,9.99995757
21/05/1960,11.43558617,8.57879804,10.00719211
22/05/1960,16.19164438,8.76912896,12.48038667
23/05/1960,18.76265599,6.35869629,12.56067614
24/05/1960,18.54297027,10.3455613,14.44426579
25/05/1960,19.88812983,6.1306058,13.00936782
26/05/1960,22.72646872,11.0827773,16.90462301
27/05/1960,21.4420286,13.4307258,17.4363772
28/05/1960,19.23059121,11.8319341,15.53126266
29/05/1960,17.33265659,7.23370347,12.28318003
30/05/1960,18.30261157,5.97754405,12.14007781
31/05/1960,20.92775191,5.64505223,13.28640207
01/06/1960,22.31252757,6.84916156,14.58084457
02/06/1960,23.34473563,8.88142554,16.11308059
03/06/1960,23.54992361,10.057491,16.80370731
04/06/1960,26.07914298,10.9496066,18.51437479
05/06/1960,28.1136206,12.3507075,20.23216405
06/06/1960,21.41736952,15.5841186,18.50074406
07/06/1960,19.26223241,9.66164193,14.46193717
08/06/1960,16.00387678,12.0224734,14.01317509
09/06/1960,18.26914335,11.6491387,14.95914103
10/06/1960,19.08449444,9.52646525,14.30547985
11/06/1960,21.220893,10.0207147,15.62080385
12/06/1960,19.09899465,13.350363,16.22467883
13/06/1960,18.33835724,9.44645401,13.89240563
14/06/1960,17.77767034,9.06496194,13.42131614
15/06/1960,20.81484126,8.54697183,14.68090655
16/06/1960,21.82433517,12.5189275,17.17163134
17/06/1960,26.74372005,15.4605623,21.10214118
18/06/1960,26.96817065,14.4910757,20.72962318
19/06/1960,25.27914905,15.9592102,20.61917963
20/06/1960,24.8867271,10.4183842,17.65255565
21/06/1960,23.52709248,11.5338422,17.53046734
22/06/1960,23.8146885,11.4279886,17.62133855
23/06/1960,19.68880603,15.1356155,17.41221077
24/06/1960,16.83373952,14.3641032,15.59892136
25/06/1960,23.21844337,13.7159598,18.46720159
26/06/1960,25.82093062,13.5580081,19.68946936
27/06/1960,19.71867606,13.3291202,16.52389813
28/06/1960,19.37546432,11.886945,15.63120466
29/06/1960,16.73661642,9.42226129,13.07943886
30/06/1960,17.73719118,7.80593949,12.77156534
01/07/1960,19.18764463,6.66382805,12.92573634
02/07/1960,19.60245951,10.5585481,15.08050381
03/07/1960,20.38937176,10.8789543,15.63416303
04/07/1960,22.32351286,13.609455,17.96648393
05/07/1960,21.53892474,14.5526826,18.04580367
06/07/1960,19.55617327,12.7002975,16.12823539
07/07/1960,19.9175369,12.4420639,16.1798004
08/07/1960,18.18533663,12.5041065,15.34472157
09/07/1960,19.03167759,11.0786867,15.05518215
10/07/1960,20.55886885,12.9799936,16.76943123
11/07/1960,18.06615238,13.1301104,15.59813139
12/07/1960,20.68277495,12.2657981,16.47428653
13/07/1960,17.39564254,12.7620356,15.07883907
14/07/1960,21.58855997,12.7633107,17.17593534
15/07/1960,20.58610075,10.7383382,15.66221948
16/07/1960,21.06368934,11.3055665,16.18462792
17/07/1960,21.73142742,11.656176,16.69380171
18/07/1960,20.07242594,12.6674053,16.36991562
19/07/1960,19.20728706,13.6870062,16.44714663
20/07/1960,18.60726522,13.0608354,15.83405031
21/07/1960,19.26510122,12.6168104,15.94095581
22/07/1960,18.02982307,10.2679257,14.14887439
23/07/1960,18.28702628,9.8870829,14.08705459
24/07/1960,20.12481173,10.4925229,15.30866732
25/07/1960,20.72796115,15.5825617,18.15526143
26/07/1960,19.85828426,11.9020062,15.88014523
27/07/1960,21.08699851,11.7177603,16.40237941
28/07/1960,22.92637206,14.2062672,18.56631963
29/07/1960,19.74469198,15.2029817,17.47383684
30/07/1960,19.68669459,13.2464933,16.46659395
31/07/1960,21.2801873,9.57967418,15.42993074
01/08/1960,19.63987153,9.63324316,14.63655735
02/08/1960,20.97037207,9.9593677,15.46486989
03/08/1960,22.36977927,12.3871604,17.37846984
04/08/1960,22.01377863,12.9545269,17.48415277
05/08/1960,22.90472542,11.0506024,16.97766391
06/08/1960,21.50047916,12.2823952,16.89143718
07/08/1960,21.94304201,13.7735263,17.85828416
08/08/1960,21.04821315,12.8293806,16.93879688
09/08/1960,19.84861409,11.2846935,15.5666538
10/08/1960,16.2819814,11.1920212,13.7370013
11/08/1960,14.51162333,12.0578085,13.28471592
12/08/1960,17.90607247,10.1101966,14.00813454
13/08/1960,18.43519979,7.69013703,13.06266841
14/08/1960,17.99513843,11.7125394,14.85383892
15/08/1960,20.37011271,10.7343364,15.55222456
16/08/1960,19.79870652,9.00624112,14.40247382
17/08/1960,20.06621114,8.55052175,14.30836645
18/08/1960,18.74127526,12.4687852,15.60503023
19/08/1960,20.14108501,8.1184074,14.12974621
20/08/1960,20.59623026,13.0767313,16.83648078
21/08/1960,22.19933985,13.4291663,17.81425308
22/08/1960,22.60127369,14.4569665,18.5291201
23/08/1960,19.58117549,13.9596924,16.77043395
24/08/1960,21.033748,14.3300717,17.68190985
25/08/1960,21.57399458,15.3220701,18.44803234
26/08/1960,19.67751196,11.6879403,15.68272613
27/08/1960,21.88727621,11.4201537,16.65371496
28/08/1960,20.99581812,12.5167164,16.75626726
29/08/1960,20.59345162,13.215196,16.90432381
30/08/1960,19.56304886,12.635148,16.09909843
31/08/1960,20.41513466,10.9243277,15.66973118
01/09/1960,18.19648384,14.5995354,16.39800962
02/09/1960,19.72510261,14.0268165,16.87595956
03/09/1960,19.88761455,15.0510803,17.46934743
04/09/1960,19.09724863,9.49775366,14.29750115
05/09/1960,18.7359127,9.24489856,13.99040563
06/09/1960,14.48461834,10.4724028,12.47851057
